Date,Home Team,Away Team,Home Goals,Away Goals
2020-09-18,Bayern Munich,Schalke 04,8,0
2020-09-19,Ein Frankfurt,Bielefeld,1,1
2020-09-19,FC Koln,Hoffenheim,2,3
2020-09-19,Stuttgart,Freiburg,2,3
2020-09-19,Union Berlin,Augsburg,1,3
2020-09-19,Werder Bremen,Hertha,1,4
2020-09-19,Dortmund,M'gladbach,3,0
2020-09-20,RB Leipzig,Mainz,3,1
2020-09-20,Wolfsburg,Leverkusen,0,0
2020-09-25,Hertha,Ein Frankfurt,1,3
2020-09-26,Augsburg,Dortmund,2,0
2020-09-26,Bielefeld,FC Koln,1,0
2020-09-26,Leverkusen,RB Leipzig,1,1
2020-09-26,Mainz,Stuttgart,1,4
2020-09-26,M'gladbach,Union Berlin,1,1
2020-09-26,Schalke 04,Werder Bremen,1,3
2020-09-27,Hoffenheim,Bayern Munich,4,1
2020-09-27,Freiburg,Wolfsburg,1,1
2020-10-02,Union Berlin,Mainz,4,0
2020-10-03,Dortmund,Freiburg,4,0
2020-10-03,Ein Frankfurt,Hoffenheim,2,1
2020-10-03,FC Koln,M'gladbach,1,3
2020-10-03,Stuttgart,Leverkusen,1,1
2020-10-03,Werder Bremen,Bielefeld,1,0
2020-10-03,RB Leipzig,Schalke 04,4,0
2020-10-04,Wolfsburg,Augsburg,0,0
2020-10-04,Bayern Munich,Hertha,4,3
2020-10-17,Augsburg,RB Leipzig,0,2
2020-10-17,Freiburg,Werder Bremen,1,1
2020-10-17,Hertha,Stuttgart,0,2
2020-10-17,Hoffenheim,Dortmund,0,1
2020-10-17,Mainz,Leverkusen,0,1
2020-10-17,Bielefeld,Bayern Munich,1,4
2020-10-17,M'gladbach,Wolfsburg,1,1
2020-10-18,FC Koln,Ein Frankfurt,1,1
2020-10-18,Schalke 04,Union Berlin,1,1
2020-10-23,Stuttgart,FC Koln,1,1
2020-10-24,Bayern Munich,Ein Frankfurt,5,0
2020-10-24,Mainz,M'gladbach,2,3
2020-10-24,RB Leipzig,Hertha,2,1
2020-10-24,Union Berlin,Freiburg,1,1
2020-10-24,Dortmund,Schalke 04,3,0
2020-10-25,Wolfsburg,Bielefeld,2,1
2020-10-25,Werder Bremen,Hoffenheim,1,1
2020-10-26,Leverkusen,Augsburg,3,1
2020-10-30,Schalke 04,Stuttgart,1,1
2020-10-31,Augsburg,Mainz,3,1
2020-10-31,Bielefeld,Dortmund,0,2
2020-10-31,Ein Frankfurt,Werder Bremen,1,1
2020-10-31,FC Koln,Bayern Munich,1,2
2020-10-31,M'gladbach,RB Leipzig,1,0
2020-11-01,Freiburg,Leverkusen,2,4
2020-11-01,Hertha,Wolfsburg,1,1
2020-11-02,Hoffenheim,Union Berlin,1,3
2020-11-06,Werder Bremen,FC Koln,1,1
2020-11-07,Augsburg,Hertha,0,3
2020-11-07,Mainz,Schalke 04,2,2
2020-11-07,RB Leipzig,Freiburg,3,0
2020-11-07,Stuttgart,Ein Frankfurt,2,2
2020-11-07,Union Berlin,Bielefeld,5,0
2020-11-07,Dortmund,Bayern Munich,2,3
2020-11-08,Wolfsburg,Hoffenheim,2,1
2020-11-08,Leverkusen,M'gladbach,4,3
2020-11-21,Bayern Munich,Werder Bremen,1,1
2020-11-21,Bielefeld,Leverkusen,1,2
2020-11-21,Hoffenheim,Stuttgart,3,3
2020-11-21,M'gladbach,Augsburg,1,1
2020-11-21,Schalke 04,Wolfsburg,0,2
2020-11-21,Ein Frankfurt,RB Leipzig,1,1
2020-11-21,Hertha,Dortmund,2,5
2020-11-22,Freiburg,Mainz,1,3
2020-11-22,FC Koln,Union Berlin,1,2
2020-11-27,Wolfsburg,Werder Bremen,5,3
2020-11-28,Augsburg,Freiburg,1,1
2020-11-28,Dortmund,FC Koln,1,2
2020-11-28,RB Leipzig,Bielefeld,2,1
2020-11-28,Stuttgart,Bayern Munich,1,3
2020-11-28,Union Berlin,Ein Frankfurt,3,3
