Date,Home Team,Away Team,Home Goals,Away Goals
2021-08-13,Valencia,Getafe,1,0
2021-08-14,Cadiz,Levante,1,1
2021-08-14,Mallorca,Betis,1,1
2021-08-14,Alaves,Real Madrid,1,4
2021-08-14,Osasuna,Espanol,0,0
2021-08-15,Celta,Ath Madrid,1,2
2021-08-15,Barcelona,Sociedad,4,2
2021-08-15,Sevilla,Vallecano,3,0
2021-08-16,Villarreal,Granada,0,0
2021-08-16,Elche,Ath Bilbao,0,0
2021-08-20,Betis,Cadiz,1,1
2021-08-21,Alaves,Mallorca,0,1
2021-08-21,Espanol,Villarreal,0,0
2021-08-21,Granada,Valencia,1,1
2021-08-21,Ath Bilbao,Barcelona,1,1
2021-08-22,Sociedad,Vallecano,1,0
2021-08-22,Ath Madrid,Elche,1,0
2021-08-22,Levante,Real Madrid,3,3
2021-08-23,Getafe,Sevilla,0,1
2021-08-23,Osasuna,Celta,0,0
2021-08-27,Mallorca,Espanol,1,0
2021-08-27,Valencia,Alaves,3,0
2021-08-28,Celta,Ath Bilbao,0,1
2021-08-28,Elche,Sevilla,1,1
2021-08-28,Sociedad,Levante,1,0
2021-08-28,Betis,Real Madrid,0,1
2021-08-29,Barcelona,Getafe,2,1
2021-08-29,Cadiz,Osasuna,2,3
2021-08-29,Vallecano,Granada,4,0
2021-08-29,Ath Madrid,Villarreal,2,2
2021-09-11,Levante,Vallecano,1,1
2021-09-11,Ath Bilbao,Mallorca,2,0
2021-09-12,Espanol,Ath Madrid,1,2
2021-09-12,Osasuna,Valencia,1,4
2021-09-12,Cadiz,Sociedad,0,2
2021-09-12,Real Madrid,Celta,5,2
2021-09-13,Getafe,Elche,0,1
2021-09-13,Granada,Betis,1,2
2021-09-17,Celta,Cadiz,1,2
2021-09-18,Vallecano,Getafe,3,0
2021-09-18,Ath Madrid,Ath Bilbao,0,0
2021-09-18,Elche,Levante,1,1
2021-09-18,Alaves,Osasuna,0,2
2021-09-19,Mallorca,Villarreal,0,0
2021-09-19,Sociedad,Sevilla,0,0
2021-09-19,Betis,Espanol,2,2
2021-09-19,Valencia,Real Madrid,1,2
2021-09-20,Barcelona,Granada,1,1
2021-09-21,Getafe,Ath Madrid,1,2
2021-09-21,Ath Bilbao,Vallecano,1,2
2021-09-21,Levante,Celta,0,2
2021-09-22,Espanol,Alaves,1,0
2021-09-22,Sevilla,Valencia,3,1
2021-09-22,Real Madrid,Mallorca,6,1
2021-09-22,Villarreal,Elche,4,1
2021-09-23,Granada,Sociedad,2,3
2021-09-23,Osasuna,Betis,1,3
2021-09-23,Cadiz,Barcelona,0,0
2021-09-25,Alaves,Ath Madrid,1,0
2021-09-25,Valencia,Ath Bilbao,1,1
2021-09-25,Sevilla,Espanol,2,0
2021-09-25,Real Madrid,Villarreal,0,0
2021-09-26,Mallorca,Osasuna,2,3
2021-09-26,Barcelona,Levante,3,0
2021-09-26,Sociedad,Elche,1,0
2021-09-26,Vallecano,Cadiz,3,1
2021-09-26,Betis,Getafe,2,0
2021-09-27,Celta,Granada,1,0
2021-10-01,Ath Bilbao,Alaves,1,0
2021-10-02,Osasuna,Vallecano,1,0
2021-10-02,Mallorca,Levante,1,0
2021-10-02,Cadiz,Valencia,0,0
2021-10-02,Ath Madrid,Barcelona,2,0
2021-10-03,Elche,Celta,1,0
2021-10-03,Espanol,Real Madrid,2,1
2021-10-03,Getafe,Sociedad,1,1
2021-10-03,Villarreal,Betis,2,0
2021-10-03,Granada,Sevilla,1,0
2021-10-16,Levante,Getafe,0,0
2021-10-16,Sociedad,Mallorca,1,0
2021-10-17,Vallecano,Elche,2,1
2021-10-17,Celta,Sevilla,0,1
2021-10-17,Villarreal,Osasuna,1,2
2021-10-17,Barcelona,Valencia,3,1
2021-10-18,Alaves,Betis,0,1
2021-10-18,Espanol,Cadiz,2,0
2021-10-22,Osasuna,Granada,1,1
2021-10-23,Valencia,Mallorca,2,2
2021-10-23,Cadiz,Alaves,0,2
2021-10-23,Elche,Espanol,2,2
2021-10-23,Ath Bilbao,Villarreal,2,1
2021-10-24,Sevilla,Levante,5,3
2021-10-24,Barcelona,Real Madrid,1,2
2021-10-24,Betis,Vallecano,3,2
2021-10-24,Ath Madrid,Sociedad,2,2
2021-10-25,Getafe,Celta,0,3
2021-10-26,Alaves,Elche,1,0
2021-10-26,Espanol,Ath Bilbao,1,1
2021-10-26,Villarreal,Cadiz,3,3
2021-10-27,Mallorca,Sevilla,1,1
2021-10-27,Vallecano,Barcelona,1,0
2021-10-27,Betis,Valencia,4,1
2021-10-27,Real Madrid,Osasuna,0,0
2021-10-28,Celta,Sociedad,0,2
2021-10-28,Granada,Getafe,1,1
2021-10-28,Levante,Ath Madrid,2,2
2021-10-30,Elche,Real Madrid,1,2
2021-10-30,Sevilla,Osasuna,2,0
2021-10-30,Valencia,Villarreal,2,0
2021-10-30,Barcelona,Alaves,1,1
2021-10-31,Cadiz,Mallorca,1,1
2021-10-31,Ath Madrid,Betis,3,0
2021-10-31,Getafe,Espanol,2,1
2021-10-31,Sociedad,Ath Bilbao,1,1
2021-11-01,Vallecano,Celta,0,0
2021-11-01,Levante,Granada,0,3
2021-11-05,Ath Bilbao,Cadiz,0,1
2021-11-06,Espanol,Granada,2,0
2021-11-06,Celta,Barcelona,3,3
2021-11-06,Alaves,Levante,2,1
2021-11-06,Real Madrid,Vallecano,2,1
2021-11-07,Villarreal,Getafe,1,0
2021-11-07,Valencia,Ath Madrid,3,3
2021-11-07,Mallorca,Elche,2,2
2021-11-07,Osasuna,Sociedad,0,2
2021-11-07,Betis,Sevilla,0,2
2021-11-19,Levante,Ath Bilbao,0,0
2021-11-20,Celta,Villarreal,1,1
2021-11-20,Sevilla,Alaves,2,2
2021-11-20,Ath Madrid,Osasuna,1,0
2021-11-20,Barcelona,Espanol,1,0
2021-11-21,Getafe,Cadiz,4,0
2021-11-21,Granada,Real Madrid,1,4
2021-11-21,Elche,Betis,0,3
2021-11-21,Sociedad,Valencia,0,0
2021-11-22,Vallecano,Mallorca,3,1
2021-11-26,Ath Bilbao,Granada,2,2
2021-11-27,Alaves,Celta,1,2
2021-11-27,Valencia,Vallecano,1,1
2021-11-27,Mallorca,Getafe,0,0
2021-11-27,Villarreal,Barcelona,1,3
2021-11-28,Betis,Levante,3,1
2021-11-28,Espanol,Sociedad,1,0
2021-11-28,Cadiz,Ath Madrid,1,4
2021-11-28,Real Madrid,Sevilla,2,1
2021-11-29,Osasuna,Elche,1,1
2021-12-01,Real Madrid,Ath Bilbao,1,0
2021-12-03,Granada,Alaves,2,1
2021-12-04,Sevilla,Villarreal,1,0
2021-12-04,Barcelona,Betis,0,1
2021-12-04,Ath Madrid,Mallorca,1,2
2021-12-04,Sociedad,Real Madrid,0,2
2021-12-05,Vallecano,Espanol,1,0
2021-12-05,Elche,Cadiz,3,1
2021-12-05,Levante,Osasuna,0,0
2021-12-05,Celta,Valencia,1,2
2021-12-06,Getafe,Ath Bilbao,0,0
2021-12-10,Mallorca,Celta,0,0
2021-12-11,Espanol,Levante,4,3
2021-12-11,Alaves,Getafe,1,1
2021-12-11,Valencia,Elche,2,1
2021-12-11,Ath Bilbao,Sevilla,0,1
2021-12-12,Villarreal,Vallecano,2,0
2021-12-12,Osasuna,Barcelona,2,2
2021-12-12,Betis,Sociedad,4,0
2021-12-12,Real Madrid,Ath Madrid,2,0
2021-12-13,Cadiz,Granada,1,1
2021-12-17,Celta,Espanol,3,1
2021-12-18,Vallecano,Alaves,2,0
2021-12-18,Sociedad,Villarreal,1,3
2021-12-18,Barcelona,Elche,3,2
2021-12-18,Sevilla,Ath Madrid,2,1
2021-12-19,Granada,Mallorca,4,1
2021-12-19,Ath Bilbao,Betis,3,2
2021-12-19,Getafe,Osasuna,1,0
2021-12-19,Real Madrid,Cadiz,0,0
2021-12-20,Levante,Valencia,3,4
2021-12-21,Villarreal,Alaves,5,2
2021-12-21,Sevilla,Barcelona,1,1
2021-12-22,Granada,Ath Madrid,2,1
2021-12-22,Ath Bilbao,Real Madrid,1,2
2021-12-31,Valencia,Espanol,1,2
2022-01-02,Getafe,Real Madrid,1,0
2022-01-02,Ath Madrid,Vallecano,2,0
2022-01-02,Elche,Granada,0,0
2022-01-02,Alaves,Sociedad,1,1
2022-01-02,Betis,Celta,0,2
2022-01-02,Mallorca,Barcelona,0,1
2022-01-03,Villarreal,Levante,5,0
2022-01-03,Osasuna,Ath Bilbao,1,3
2022-01-03,Cadiz,Sevilla,0,1
2022-01-08,Levante,Mallorca,2,0
2022-01-08,Sociedad,Celta,1,0
2022-01-08,Granada,Barcelona,1,1
2022-01-08,Real Madrid,Valencia,4,1
2022-01-09,Vallecano,Betis,1,1
2022-01-09,Sevilla,Getafe,1,0
2022-01-09,Alaves,Ath Bilbao,0,0
2022-01-09,Osasuna,Cadiz,2,0
2022-01-09,Villarreal,Ath Madrid,2,2
2022-01-10,Espanol,Elche,1,2
2022-01-16,Elche,Villarreal,1,0
2022-01-18,Betis,Alaves,4,0
2022-01-18,Cadiz,Espanol,2,2
2022-01-19,Celta,Osasuna,2,0
2022-01-19,Valencia,Sevilla,1,1
